"","x"
"394",28170.6408525
"395",28027.298995
"396",27886.04241
"397",27742.9890525
"398",27597.5848075
"399",27450.991815
"400",27302.97762
"401",27156.2987
"402",27011.066855
"403",26866.260615
"404",26722.72691
"405",26581.9162525
"406",26440.7992325
"407",26303.2420325
"408",26166.90828
"409",26031.83847
"410",25900.131565
"411",25770.6062025
"412",25643.180725
"413",25516.5155175
"414",25392.5992925
"415",25269.9703625
"416",25149.388005
"417",25029.147425
"418",24910.6356475
"419",24793.73817
"420",24677.129395
"421",24560.941015
"422",24446.812255
"423",24333.5646825
"424",24221.8112675
"425",24111.33503
"426",24000.3137775
"427",23891.499235
"428",23783.75545
"429",23675.73644
"430",23568.0771025
"431",23460.9808675
"432",23355.6327325
"433",23249.26633
"434",23144.6885175
"435",23039.24588
"436",22934.31108
"437",22831.02048
"438",22727.4140725
"439",22624.244945
"440",22522.2071225
"441",22420.547915
"442",22320.4021225
"443",22219.2091825
"444",22118.4622075
"445",22019.08859
"446",21918.6360825
"447",21818.84779
"448",21719.884935
"449",21621.886785
"450",21523.5416525
"451",21426.00991
"452",21328.05074
"453",21230.8674725
"454",21134.04541
"455",21038.0713275
"456",20942.634985
"457",20847.0759625
"458",20752.3238175
"459",20656.6317775
"460",20562.89953
"461",20468.96657
"462",20374.7575275
"463",20281.729115
"464",20189.177775
"465",20096.5608825
"466",20003.788875
"467",19912.333595
"468",19820.594475
"469",19728.9388175
"470",19638.6613375
"471",19548.88342
"472",19458.75997
"473",19369.4197875
"474",19280.387015
"475",19191.60691
"476",19102.9985175
"477",19015.262015
"478",18928.30733
"479",18840.5616075
"480",18755.1631525
