"V1","V2","V3"
40.4182902394875,38.9143508667949,20.6673588937176
42.8618838761953,35.4103316117731,21.7277845120316
37.1711082976668,36.9551893811083,25.873702321225
38.1192321847197,36.8709908052886,25.0097770099917
45.80707939942,34.1739045797237,20.0190160208563
41.659320066048,38.0449316384041,20.2957482955479
37.4261309513576,36.1233385339754,26.4505305146671
32.6827137785899,36.2040458030915,31.1132404183186
35.0472408254365,39.4032642735345,25.549494901029
46.6668984064706,34.4543201408111,18.8787814527183
32.827338016559,37.2312170684378,29.9414449150032
44.7820189303586,34.4500499968012,20.7679310728403
38.2905701938019,37.6558651531379,24.0535646530602
42.3858738042016,35.5626156275587,22.0515105682397
44.8208273653653,34.2036578201084,20.9755148145263
43.0142738814169,36.7216054372487,20.2641206813345
40.0673907493383,36.6880831965002,23.2445260541615
37.3119463014896,37.3547632569872,25.3332904415232
39.7661543064772,35.7605387465909,24.4733069469319
37.8424091067826,39.2304512015021,22.9271396917154
35.2617673631375,37.4572622891379,27.2809703477246
44.2350629390419,33.6672141386012,22.0977229223569
36.8129759189466,35.6611821724068,27.5258419086465
40.5647728736195,36.9938656276181,22.4413614987625
44.2417253708159,35.9423485863858,19.8159260427983
37.2430938306341,36.8460239910568,25.9108821783091
35.020625372245,36.1637328959875,28.8156417317675
45.3837934259079,36.081125906336,18.5350806677562
37.2836289800366,37.2209553062706,25.4954157136928
38.9965442706405,37.5462452958517,23.4572104335077
37.6597899835615,37.3989660539458,24.9412439624927
41.8664798497176,37.3732516333496,20.7602685169329
47.7705303032371,33.0663543480415,19.1631153487214
38.1970087710695,37.5257005729721,24.2772906559583
38.8995721077222,35.9009001423496,25.1995277499282
34.7915005767657,36.7650080999942,28.4434913232401
35.5359343269014,37.9330319640492,26.5310337090494
41.7746908299849,35.0750013420203,23.1503078279948
33.061004953579,37.1045727843498,29.8344222620712
43.9410293893525,36.5601992622671,19.4987713483803
38.8595919772391,37.0635502651792,24.0768577575817
45.1268505897874,36.3506193662658,18.5225300439468
42.4130128665729,37.1295483639672,20.4574387694599
38.8582061329168,38.9226969978454,22.2190968692378
46.6642390765426,34.2926622242248,19.0430986992326
40.2472600215976,39.1450908489278,20.6076491294745
42.7870434440835,37.7763465573339,19.4366099985826
35.8875181296873,36.2461721637685,27.8663097065443
41.8240005394667,36.5185045094641,21.6574949510692
47.4397095367124,32.3083885521604,20.2519019111272
44.0816987547855,34.3525647566153,21.5657364885993
39.5433999865737,37.7842918112831,22.6723082021432
40.8222498478451,38.2132617272634,20.9644884248915
41.4889595335317,38.1599192932639,20.3511211732044
44.01378907068,36.0857431618115,19.9004677675085
45.1345569821337,34.3593391606332,20.5061038572331
42.5344737573218,37.7431079270308,19.7224183156474
39.0808460292155,39.1218151956035,21.797338775181
37.4547944100472,39.3119586101113,23.2332469798415
41.8570719351963,37.4935534402336,20.6493746245701
39.2958042736157,38.1199008414415,22.5842948849428
38.1735575827363,38.0916537998622,23.7347886174016
39.7453901182791,38.8036036419018,21.4510062398191
40.3791297794281,36.0927981578489,23.528072062723
34.3686920242184,36.9034332327385,28.7278747430431
40.4516971481908,36.8353806024713,22.7129222493379
43.8729199309301,36.9066501724939,19.220429896576
40.6075664325971,36.6600193080399,22.732414259363
42.0069446525873,35.2588890858016,22.7341662616111
40.2331705632325,36.3276369431655,23.439192493602
37.7383204584577,38.3964348046852,23.8652447368571
37.2430938306341,36.8460239910568,25.9108821783091
42.3858277932934,37.4680088473742,20.1461633593324
36.6118116403136,35.4128374692537,27.9753508904327
33.9640148765866,36.1452393106953,29.8907458127182
37.620558554958,36.9198038009229,25.4596376441191
45.7588227232255,34.5829293065654,19.658247970209
33.8137186050537,37.3491272030967,28.8371541918497
41.1337782923032,37.3092570568891,21.5569646508077
39.7242029128589,35.8139027518279,24.4618943353132
41.5483386779965,36.3206085687092,22.1310527532943
40.3419144219112,34.924277231437,24.7338083466517
40.994920783344,35.4664930913506,23.5385861253054
42.2648304046388,37.8283740712252,19.906795524136
43.639777318158,37.3041746910785,19.0560479907635
36.9569863738773,35.8973766888222,27.1456369373004
40.3065260260543,34.9064476315943,24.7870263423514
40.6300236238491,36.5379045720747,22.8320718040763
37.5845264954581,39.3377657166556,23.0777077878863
41.8408524312665,34.8331588828004,23.3259886859331
43.8638318546433,35.4686541488508,20.6675139965059
45.1815330803445,35.510102018957,19.3083649006984
44.8717547066415,35.2455313820364,19.8827139113221
37.7715574637379,36.9082504702546,25.3201920660075
33.2412370985532,37.195121121279,29.5636417801678
38.202276689047,36.5654209765517,25.2323023344014
35.1633176599225,35.9106613440471,28.9260209960303
41.4490680177836,34.5200094017482,24.0309225804681
41.8600031339704,37.6203659146496,20.51963095138
43.5319193359589,34.7586426617379,21.7094380023032
